Prix,Année,BoiteàV,Carburant,kilometrage,Marque,Model,NBporte,Origine,Première main,Puissance fiscale,Etat,équipements
35 000 DH,2000,Manuelle,Diesel,300 000 - 349 999,Land Rover,Freelander,5,WW au Maroc,Non,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Airbags""]"
264 000 DH,2019,Automatique,Diesel,90 000 - 94 999,Hyundai,Tucson,5,WW au Maroc,Non,6 CV,Neuf,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
117 000 DH,2012,Manuelle,Diesel,170 000 - 179 999,Ford,C-Max,WW au Maroc,6 CV,Excellent,ABS,Airbags,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""ESP"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Ordinateur de bord""]"
81 000 DH,2008,Manuelle,Diesel,250 000 - 299 999,Nissan,Pathfinder,5,Dédouanée,Non,10 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
258 000 DH,2021,Automatique,Diesel,130 000 - 139 999,Skoda,Octavia,5,WW au Maroc,Non,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
375 000 DH,2020,Automatique,Diesel,120 000 - 129 999,Volkswagen,Touareg,5,WW au Maroc,Oui,12 CV,Très bon,[]
87 000 DH,2010,Manuelle,Essence,200 000 - 249 999,Volkswagen,Golf 6,5,WW au Maroc,Non,9 CV,Neuf,[]
178 000 DH,2017,Manuelle,Diesel,40 000 - 44 999,Jeep,Renegade,5,WW au Maroc,Oui,6 CV,Très bon,[]
56 000 DH,2011,Manuelle,Essence,100 000 - 109 999,Suzuki,Celerio,5,WW au Maroc,Non,6 CV,Excellent,[]
70 000 DH,2007,Manuelle,Diesel,15 000 - 19 999,Peugeot,207,5,WW au Maroc,Non,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Airbags""]"
78 000 DH,2010,Manuelle,Essence,5 000 - 9 999,Volkswagen,Polo,WW au Maroc,Non,7 CV,Bon,,[]
164 999 DH,2024,Manuelle,Diesel,30 000 - 34 999,Peugeot,208,5,WW au Maroc,Oui,6 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
115 000 DH,2015,Manuelle,Diesel,190 000 - 199 999,Opel,Astra,5,7 CV,Très bon,ABS,Airbags,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse""]"
850 000 DH,2018,Manuelle,Diesel,200 000 - 249 999,Fiat,Fiorino,5,WW au Maroc,Oui,5 CV,Très bon,[]
84 000 DH,2016,Manuelle,Diesel,150 000 - 159 999,Fiat,Punto,5,WW au Maroc,Non,5 CV,Très bon,"[""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Airbags""]"
145 000 DH,2019,Manuelle,Diesel,120 000 - 129 999,Citroen,Berlingo,5,WW au Maroc,Non,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Airbags""]"
65 000 DH,1985,Manuelle,Essence,15 000 - 19 999,Mercedes-Benz,190,6 CV,,,,,[]
500 000 DH,2022,Automatique,Essence,45 000 - 49 999,Jeep,Wrangler,5,Dédouanée,Oui,11 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
275 000 DH,2021,Automatique,Diesel,90 000 - 94 999,Peugeot,3008,WW au Maroc,Non,8 CV,Très bon,,[]
550 000 DH,2018,Automatique,Essence,100 000 - 109 999,Audi,A5,3,34 CV,Excellent,ABS,Airbags,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Ordinateur de bord""]"
200 000 DH,2013,Automatique,Diesel,160 000 - 169 999,Mercedes-Benz,Classe CLA,5,WW au Maroc,Non,9 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
110 000 DH,2018,Manuelle,Diesel,20 000 - 24 999,Citroen,Berlingo,3,WW au Maroc,Non,7 CV,Excellent,"[""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""Ordinateur de bord""]"
50 000 DH,2012,Manuelle,Essence,200 000 - 249 999,Suzuki,Grand Vitara,3,Dédouanée,Non,10 CV,Bon,[]
338 000 DH,2023,Automatique,Diesel,50 000 - 54 999,Volkswagen,Golf 8,5,WW au Maroc,Oui,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
110 000 DH,2016,Manuelle,Diesel,140 000 - 149 999,Renault,Kangoo,5,WW au Maroc,Non,6 CV,Bon,[]
210 000 DH,2023,Automatique,Hybride,150 000 - 159 999,Hyundai,Bayon,5,WW au Maroc,Non,6 CV,Bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
60 000 DH,2003,Manuelle,Diesel,250 000 - 299 999,Renault,Megane,5,WW au Maroc,Non,6 CV,Bon,"[""CD/MP3/Bluetooth"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium""]"
105 000 DH,2019,Manuelle,Diesel,90 000 - 94 999,Dacia,Logan,5,WW au Maroc,Non,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""ABS"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
120 000 DH,2013,Manuelle,Diesel,200 000 - 249 999,Jeep,Compass,5,WW au Maroc,Non,9 CV,Excellent,"[""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
14 000 DH,1984,Manuelle,Diesel,30 000 - 34 999,Citroen,AX,5,Importée neuve,Non,7 CV,Correct,"[""CD/MP3/Bluetooth"", ""Jantes aluminium"", ""Toit ouvrant""]"
54 000 DH,2007,Manuelle,Essence,110 000 - 119 999,Suzuki,Swift,5,WW au Maroc,Non,7 CV,Très bon,"[""CD/MP3/Bluetooth"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Climatisation"", ""Airbags""]"
35 000 DH,1990,Manuelle,Diesel,300 000 - 349 999,Volkswagen,Golf 2,5,Dédouanée,Non,7 CV,Excellent,[]
113 000 DH,2015,Manuelle,Diesel,180 000 - 189 999,Ford,Fiesta,5,WW au Maroc,Oui,6 CV,Neuf,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
157 000 DH,2018,Manuelle,Diesel,160 000 - 169 999,Volkswagen,Jetta,5,WW au Maroc,Oui,8 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
30 000 DH,2008,Manuelle,Essence,190 000 - 199 999,Peugeot,407,5,Dédouanée,Non,13 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
255 000 DH,2018,Manuelle,Diesel,130 000 - 139 999,Toyota,Hilux,WW au Maroc,Non,10 CV,Excellent,ABS,"[""Climatisation"", ""Airbags"", ""Jantes aluminium""]"
114 000 DH,2016,Manuelle,Diesel,120 000 - 129 999,Volkswagen,Polo,5,WW au Maroc,Non,6 CV,Très bon,[]
118 000 DH,2018,Automatique,Essence,100 000 - 109 999,Fiat,500,3,WW au Maroc,Non,7 CV,Excellent,"[""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
178 000 DH,2014,Manuelle,Diesel,200 000 - 249 999,Audi,Q5,5,WW au Maroc,Non,8 CV,Excellent,[]
65 000 DH,2000,Manuelle,Diesel,90 000 - 94 999,Renault,Espace,5,Dédouanée,8 CV,Très bon,Caméra de recul,"[""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""ESP"", ""Climatisation"", ""Limiteur de vitesse""]"
300 000 DH,2020,Automatique,Diesel,100 000 - 109 999,Mercedes-Benz,Sprinter,9 CV,,,,,[]
140 000 DH,2021,Automatique,Essence,85 000 - 89 999,Fiat,500C,3,WW au Maroc,Non,7 CV,Excellent,"[""Radar de recul"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation""]"
163 000 DH,2017,Manuelle,Diesel,110 000 - 119 999,Skoda,Octavia,WW au Maroc,Non,8 CV,Excellent,,[]
67 000 DH,2008,Manuelle,Essence,100 000 - 109 999,Toyota,Yaris,WW au Maroc,Non,6 CV,Excellent,Airbags,"[""Climatisation"", ""CD/MP3/Bluetooth"", ""Vitres \u00e9lectriques""]"
260 000 DH,2022,Automatique,Diesel,75 000 - 79 999,Kia,Sportage,5,WW au Maroc,Oui,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
154 000 DH,2021,Manuelle,Diesel,80 000 - 84 999,Peugeot,208,6 CV,Excellent,ABS,Airbags,CD/MP3/Bluetooth,"[""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Ordinateur de bord""]"
154 000 DH,2015,Manuelle,Diesel,200 000 - 249 999,Nissan,Qashqai,5,WW au Maroc,Oui,6 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ABS"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
970 000 DH,2018,Manuelle,Diesel,5 000 - 9 999,Dacia,Logan,5,Dédouanée,Oui,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
359 999 DH,2019,Automatique,Diesel,85 000 - 89 999,Mercedes-Benz,Classe A,5,Dédouanée,Non,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
650 000 DH,2019,Automatique,Diesel,70 000 - 74 999,Land Rover,Range Rover Sport,5,Dédouanée,Non,12 CV,Excellent,"[""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
165 000 DH,2025,Automatique,Essence,0 - 4 999,Dacia,Sandero,5,WW au Maroc,Oui,6 CV,Excellent,[]
145 000 DH,2010,Automatique,Diesel,120 000 - 129 999,BMW,X1,5,Dédouanée,Non,8 CV,Bon,"[""CD/MP3/Bluetooth"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Ordinateur de bord""]"
275 000 DH,2019,Automatique,Diesel,95 000 - 99 999,DS,DS7,5,WW au Maroc,Oui,8 CV,Excellent,[]
48 000 DH,2008,Manuelle,Essence,200 000 - 249 999,Kia,Picanto,5,Dédouanée,Non,6 CV,Très bon,[]
28 000 DH,1990,Manuelle,Diesel,0 - 4 999,Peugeot,205,5,Dédouanée,Non,7 CV,Bon,"[""Verrouillage centralis\u00e9 \u00e0 distance""]"
94 000 DH,2006,Manuelle,Diesel,20 000 - 24 999,Volkswagen,Golf 5,5,Dédouanée,Non,8 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""Jantes aluminium""]"
90 000 DH,2009,Automatique,Diesel,35 000 - 39 999,Volkswagen,Passat,5,Dédouanée,Non,8 CV,Bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
28 000 DH,1996,Manuelle,Diesel,250 000 - 299 999,Renault,19,5,Dédouanée,Oui,7 CV,Bon,"[""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Airbags"", ""Ordinateur de bord""]"
50 000 DH,2005,Manuelle,Essence,130 000 - 139 999,Fiat,Punto,5,Dédouanée,7 CV,Très bon,,[]
130 000 DH,2021,Manuelle,Diesel,100 000 - 109 999,Dacia,Logan,5,WW au Maroc,Oui,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
122 000 DH,2018,Manuelle,Diesel,130 000 - 139 999,Dacia,Sandero,5,WW au Maroc,Oui,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
305 000 DH,2019,Automatique,Diesel,5 000 - 9 999,Skoda,Kodiaq,5,WW au Maroc,Oui,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Vitres \u00e9lectriques"", ""ABS"", ""Airbags"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Ordinateur de bord""]"
179 000 DH,2021,Manuelle,Diesel,100 000 - 109 999,Peugeot,308,5,WW au Maroc,Non,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""ESP"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
159 000 DH,2019,Manuelle,Diesel,140 000 - 149 999,Renault,Megane,5,WW au Maroc,Oui,6 CV,Excellent,[]
143 000 DH,2021,Manuelle,Diesel,80 000 - 84 999,Peugeot,208,5,WW au Maroc,Oui,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
225 000 DH,2019,Automatique,Hybride,40 000 - 44 999,Hyundai,Ioniq Hybrid,5,Dédouanée,Non,9 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
130 000 DH,2013,Manuelle,Diesel,140 000 - 149 999,Volkswagen,Caddy,5,WW au Maroc,Oui,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
275 000 DH,2020,Automatique,Diesel,120 000 - 129 999,Seat,Ateca,8 CV,,,,,[]
55 000 DH,1999,Manuelle,Diesel,20 000 - 24 999,Mercedes-Benz,220,5,Dédouanée,Non,8 CV,Bon,"[""CD/MP3/Bluetooth"", ""ESP"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation""]"
134 998 DH,2019,Manuelle,Essence,30 000 - 34 999,Seat,Ibiza,5,WW au Maroc,Oui,6 CV,Excellent,[]
80 000 DH,2016,Manuelle,Essence,130 000 - 139 999,Peugeot,208,5,WW au Maroc,Non,6 CV,Très bon,[]
95 000 DH,2019,Manuelle,Diesel,250 000 - 299 999,Fiat,Fiorino,5,WW au Maroc,Oui,5 CV,Très bon,"[""Climatisation"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
30 000 DH,2011,Manuelle,Essence,200 000 - 249 999,Chery,QQ,5,Non,5 CV,Excellent,,[]
148 000 DH,2016,Manuelle,Diesel,150 000 - 159 999,Ford,Focus,5,WW au Maroc,Non,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Climatisation"", ""Airbags""]"
87 000 DH,2003,Manuelle,Diesel,450 000 - 499 999,Volkswagen,Golf 4,5,Dédouanée,Non,8 CV,Très bon,"[""CD/MP3/Bluetooth"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation""]"
340 000 DH,2020,Automatique,Diesel,40 000 - 44 999,Volkswagen,Tiguan,5,WW au Maroc,Oui,10 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
159 000 DH,2019,Manuelle,Diesel,180 000 - 189 999,Dacia,Duster,5,WW au Maroc,Non,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
45 000 DH,2006,Manuelle,Essence,0 - 4 999,Peugeot,206,5,WW au Maroc,Non,6 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Vitres \u00e9lectriques"", ""Limiteur de vitesse""]"
58 000 DH,1992,Manuelle,Diesel,350 000 - 399 999,Mercedes-Benz,190,5,Dédouanée,Non,10 CV,Très bon,"[""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium""]"
350 000 DH,2023,Automatique,Diesel,30 000 - 34 999,Cupra,Leon,8 CV,,,,,[]
248 000 DH,2016,Automatique,Diesel,100 000 - 109 999,Mercedes-Benz,220,5,WW au Maroc,Oui,9 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Limiteur de vitesse"", ""Airbags""]"
45 000 DH,2007,Manuelle,Essence,200 000 - 249 999,Kia,Picanto,5,WW au Maroc,Non,6 CV,Très bon,"[""Climatisation"", ""Airbags"", ""Jantes aluminium""]"
67 000 DH,2004,Manuelle,Diesel,25 000 - 29 999,Renault,Megane,5,WW au Maroc,Non,6 CV,Très bon,"[""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Ordinateur de bord""]"
