Prix,Année,BoiteàV,Carburant,kilometrage,Marque,Model,NBporte,Origine,Première main,Puissance fiscale,Etat,équipements
275 000 DH,2015,Automatique,Diesel,160 000 - 169 999,Mercedes-Benz,Classe C,5,Importée neuve,Non,9 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
165 000 DH,2018,Automatique,Diesel,45 000 - 49 999,Volkswagen,Jetta,5,WW au Maroc,Oui,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""ABS"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
180 000 DH,2019,Automatique,Diesel,110 000 - 119 999,Opel,Astra,5,WW au Maroc,Oui,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
175 000 DH,2024,Automatique,Essence,40 000 - 44 999,Hyundai,Accent,5,WW au Maroc,Oui,9 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Ordinateur de bord"", ""Vitres \u00e9lectriques"", ""ABS"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
185 000 DH,2020,Manuelle,Diesel,25 000 - 29 999,Hyundai,Elantra,5,WW au Maroc,Oui,6 CV,Excellent,"[""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Si\u00e8ges cuir"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
75 000 DH,2002,Manuelle,Diesel,350 000 - 399 999,Volkswagen,Golf 4,5,Dédouanée,Non,8 CV,Excellent,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Toit ouvrant"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
259 000 DH,2022,Manuelle,Diesel,30 000 - 34 999,Citroen,C4,5,WW au Maroc,Non,6 CV,Très bon,"[""CD/MP3/Bluetooth"", ""R\u00e9gulateur de vitesse"", ""Radar de recul"", ""Syst\u00e8me de navigation/GPS"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""ESP"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""ABS"", ""Jantes aluminium"", ""Vitres \u00e9lectriques"", ""Climatisation"", ""Limiteur de vitesse"", ""Airbags""]"
73 000 DH,2011,Manuelle,Essence,95 000 - 99 999,Ford,Fiesta,Non,7 CV,Excellent,ABS,Airbags,"[""Climatisation"", ""CD/MP3/Bluetooth"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
55 000 DH,2010,Manuelle,Essence,200 000 - 249 999,Peugeot,206,5,WW au Maroc,Non,6 CV,Excellent,"[""CD/MP3/Bluetooth"", ""Vitres \u00e9lectriques"", ""Jantes aluminium"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
118 000 DH,2020,Manuelle,Diesel,180 000 - 189 999,Dacia,Dokker,5,WW au Maroc,Oui,6 CV,Très bon,[]
95 000 DH,2011,Manuelle,Diesel,250 000 - 299 999,Opel,Astra,5,WW au Maroc,Non,7 CV,Très bon,"[""R\u00e9gulateur de vitesse"", ""Verrouillage centralis\u00e9 \u00e0 distance"", ""Cam\u00e9ra de recul"", ""Vitres \u00e9lectriques"", ""ABS"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""Climatisation""]"
