Prix,Année,BoiteàV,Carburant,kilometrage,Marque,Model,NBporte,Origine,Première main,Puissance fiscale,Etat,équipements
155 000 DH,2023,Manuelle,Diesel,40 000 - 44 999,Renault,Express,5,WW au Maroc,Non,6 CV,Bon,[]
180 000 DH,2022,Automatique,Diesel,100 000 - 109 999,Dacia,Duster,5,WW au Maroc,Non,6 CV,Excellent,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""CD/MP3/Bluetooth"", ""Climatisation"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
225 000 DH,2019,Automatique,Diesel,120 000 - 129 999,Hyundai,Tucson,5,WW au Maroc,Non,6 CV,Très bon,"[""Jantes aluminium"", ""Airbags"", ""Cam\u00e9ra de recul"", ""Climatisation"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS""]"
130 000 DH,2013,Manuelle,Diesel,200 000 - 249 999,Renault,Clio,5,WW au Maroc,Oui,6 CV,Excellent,"[""Climatisation"", ""Vitres \u00e9lectriques""]"
1 870 000 DH,2024,Automatique,Hybride,0 - 4 999,Porsche,Cayenne,Importée neuve,14 CV,Neuf,ABS,Airbags,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Ordinateur de bord"", ""Toit ouvrant"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""ESP"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
148 000 DH,2016,Manuelle,Diesel,150 000 - 159 999,Ford,Focus,5,Importée neuve,Non,6 CV,Excellent,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Ordinateur de bord"", ""CD/MP3/Bluetooth"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
139 000 DH,2022,Manuelle,Essence,10 000 - 14 999,Toyota,Yaris,5,WW au Maroc,Oui,6 CV,Excellent,"[""Limiteur de vitesse"", ""Ordinateur de bord"", ""CD/MP3/Bluetooth"", ""Cam\u00e9ra de recul"", ""Airbags"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""ESP"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
128 000 DH,2015,Manuelle,Diesel,70 000 - 74 999,Kia,Soul,6 CV,Excellent,ABS,Airbags,CD/MP3/Bluetooth,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Ordinateur de bord"", ""Cam\u00e9ra de recul"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""Syst\u00e8me de navigation/GPS"", ""Radar de recul"", ""ESP"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
133 000 DH,2021,Manuelle,Diesel,140 000 - 149 999,Dacia,Dokker,5,WW au Maroc,6 CV,Excellent,ABS,"[""Airbags"", ""Climatisation"", ""Radar de recul"", ""Vitres \u00e9lectriques"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
48 000 DH,2004,Automatique,Essence,300 000 - 349 999,Honda,Accord,5,WW au Maroc,Non,13 CV,Correct,"[""Limiteur de vitesse"", ""Jantes aluminium"", ""Si\u00e8ges cuir"", ""CD/MP3/Bluetooth"", ""Airbags"", ""Toit ouvrant"", ""Climatisation"", ""R\u00e9gulateur de vitesse"", ""ESP"", ""Vitres \u00e9lectriques"", ""ABS"", ""Verrouillage centralis\u00e9 \u00e0 distance""]"
