Prix,BoiteàV,Carburant,kilometrage,NBporte,Origine,Première main,Puissance fiscale,Etat,Age,Limiteur de vitesse,Jantes aluminium,CD/MP3/Bluetooth,Climatisation,Vitres électriques,Verrouillage centralisé à distance,Airbags,Caméra de recul,Système de navigation/GPS,Radar de recul,ESP,ABS,Ordinateur de bord,Régulateur de vitesse,Sièges cuir,Toit ouvrant,Marque_freq,Modèle_freq
53.0,0,0,0.8910952038262491,5,1.0,0,1.3045809857182746,3.0,1.3479802124057818,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0.0279974961588801,0.0027314630398907413
479.0,1,0,-0.5337077114109016,5,1.0,0,0.2804923872513998,3.0,-0.4272749897270577,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.025322938598987082,0.0014795424799408183
210.0,1,0,0.39551158113506624,5,1.0,0,0.2804923872513998,3.0,-0.2907168972553008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.014681613839412735,0.00887725487964491
495.0,1,0,-1.3390310982840736,5,3.0,1,0.2804923872513998,2.0,-0.8369492671423284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11938769703522449,0.02646104819894156
250.0,0,0,-0.7195515699200951,5,1.0,1,-0.743596211215475,2.0,-0.8369492671423284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.018152848119273885,0.0021624082399135038
290.0,1,0,0.6433033924806576,5,1.0,0,0.2804923872513998,1.0,-0.4272749897270577,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.042451488078301944,0.007454617879701815
170.0,1,0,1.5105747321902276,5,2.0,0,2.3286695841851497,2.0,0.5286316575752404,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.03602116883855915,0.0009104876799635805
390.0,1,0,0.39551158113506624,5,3.0,0,0.7925366864848372,3.0,-0.4272749897270577,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.07283901439708644,0.01325897683946964
235.0,1,0,-0.10007204155611658,5,1.0,1,0.2804923872513998,2.0,-0.5638330821988146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.11938769703522449,0.011665623399533375
155.0,0,0,0.7671992981534533,5,1.0,0,-0.743596211215475,1.0,-0.5638330821988146,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0.08655323507653787,0.02185170431912593
60.0,0,0,0.14771976978947482,5,1.0,1,0.2804923872513998,2.0,1.211422119934025,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.11938769703522449,0.009844648039606213
132.0,0,0,-1.4629270039568694,5,3.0,0,-0.743596211215475,2.0,-0.017600712311787052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.1093723325556251,0.0031867068798725317
100.0,0,0,0.14771976978947482,5,1.0,0,-0.743596211215475,2.0,-0.017600712311787052,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.057076196437716956,0.010186080919592557
250.0,1,0,-0.5337077114109016,5,1.0,1,0.2804923872513998,3.0,-0.2907168972553008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03602116883855915,0.00256074659989757
67.0,0,0,2.130054260554206,5,1.0,0,0.2804923872513998,2.0,0.8017478425187543,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.00022762191999089513,0.00022762191999089513
112.0,0,0,0.023823864116679114,5,1.0,0,-1.2556405104489126,2.0,-0.017600712311787052,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0.11938769703522449,0.009844648039606213
140.0,0,0,0.14771976978947482,5,3.0,0,1.3045809857182746,3.0,0.11895738015996983,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0.005519831559779207,0.003072895919877084
60.0,0,0,-1.586822909629665,5,1.0,0,-0.23155191198203764,2.0,0.8017478425187543,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0.08655323507653787,0.02646104819894156
98.0,0,0,0.519407486807862,5,1.0,0,-1.2556405104489126,2.0,0.11895738015996983,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0.11938769703522449,0.0027883685198884654
67.0,0,1,0.2716156754622705,5,1.0,0,-0.743596211215475,3.0,0.9383059349905112,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0.0279974961588801,0.009673931599613043
54.0,0,1,0.8910952038262491,5,1.0,0,0.2804923872513998,2.0,0.8017478425187543,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0.08000910487679963,0.00210550275991578
180.0,0,0,2.130054260554206,5,1.0,0,1.3045809857182746,3.0,0.5286316575752404,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0.027143913958914242,0.0011950150799521994
127.0,0,0,0.39551158113506624,5,1.0,0,-0.743596211215475,3.0,0.3920735651034836,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.04552438399817903,0.0017071643999317133
105.0,0,0,0.8910952038262491,5,1.0,0,-0.743596211215475,2.0,-0.4272749897270577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08655323507653787,0.014112559039435498
65.0,0,0,-0.5337077114109016,5,1.0,1,-0.743596211215475,2.0,0.3920735651034836,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.1093723325556251,0.03892334831844307
659.0,1,1,-0.7814995227564929,5,2.0,1,0.7925366864848372,3.0,-0.8369492671423284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.042451488078301944,0.006088886359756444
162.0,0,0,-0.10007204155611658,5,1.0,0,-0.23155191198203764,3.0,-0.15415880478354393,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0.057076196437716956,0.003869572639845217
22.0,0,0,3.988492845646142,5,3.0,0,-0.23155191198203764,2.0,3.5329096919538916,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08000910487679963,0.001536447959938542
55.0,0,0,0.8910952038262491,5,1.0,0,-0.743596211215475,1.0,1.6210963973492956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08000910487679963,0.006828657599726853
120.0,0,0,0.8910952038262491,5,1.0,0,-0.743596211215475,3.0,0.25551547263172675,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0.04552438399817903,0.0017071643999317133
355.0,1,0,0.39551158113506624,5,1.0,0,0.2804923872513998,3.0,-0.5638330821988146,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0.03602116883855915,0.009275593239628977
530.0,1,0,-0.347863852901708,5,2.0,1,2.3286695841851497,3.0,-0.2907168972553008,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.00631650827974734,0.0032436123598702554
132.0,0,0,0.7671992981534533,5,1.0,0,-0.743596211215475,3.0,-0.15415880478354393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.057076196437716956,0.0034143287998634267
167.0,0,0,-1.1531872397748801,5,1.0,1,-0.743596211215475,3.0,-0.8369492671423284,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0.08000910487679963,0.019689296079212427
198.0,0,0,-0.7195515699200951,5,1.0,1,-0.743596211215475,3.0,-0.8369492671423284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.03448472087862061,0.0071131849997154726
235.0,1,0,0.023823864116679114,5,1.0,1,0.2804923872513998,3.0,-0.15415880478354393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.004893871279804245,0.0017071643999317133
70.0,0,0,3.3690133172821635,5,1.0,0,0.2804923872513998,2.0,1.4845383048775387,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0.11938769703522449,0.0022762191999089513
138.0,1,0,0.2716156754622705,5,2.0,0,0.2804923872513998,1.0,0.25551547263172675,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0.005519831559779207,0.0013657315199453706
119.0,0,0,-0.22396794722891228,5,1.0,0,-0.743596211215475,3.0,-0.5638330821988146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1093723325556251,0.03892334831844307
180.0,0,0,-1.2770831454476756,5,1.0,0,-0.743596211215475,3.0,-0.9735073596140853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02930632219882775,0.006373413759745063
188.0,1,0,-0.347863852901708,3,1.0,0,0.2804923872513998,3.0,-0.2907168972553008,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.11938769703522449,0.0008535821999658567
185.0,1,2,-0.5337077114109016,5,1.0,0,1.3045809857182746,3.0,-0.7003911746705714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.027143913958914242,0.00978774255960849
289.0,1,0,-1.586822909629665,5,1.0,1,-0.743596211215475,3.0,-1.246623544557599,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.08000910487679963,0.005918169919763273
270.0,1,0,0.023823864116679114,5,1.0,0,2.3286695841851497,2.0,-0.15415880478354393,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0.025322938598987082,0.008649632959654015
199.0,0,0,-0.9053954284292887,5,3.0,1,0.2804923872513998,3.0,0.3920735651034836,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0.057076196437716956,0.003869572639845217
203.0,0,0,0.7671992981534533,5,1.0,0,0.2804923872513998,2.0,-0.5638330821988146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.017014738519319412,0.005747453479770102
63.0,0,0,1.5105747321902276,5,1.0,0,0.2804923872513998,2.0,1.3479802124057818,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0.007909861719683605,0.0012519205599499231
65.0,0,0,2.130054260554206,5,1.0,0,-0.743596211215475,2.0,1.074864027462268,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0.03448472087862061,0.006601035679735958
43.0,0,1,-1.586822909629665,5,1.0,0,0.7925366864848372,2.0,1.074864027462268,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.004609343879815626,0.0006828657599726853
300.0,1,0,0.2716156754622705,5,3.0,1,4.888891080352336,3.0,-0.2907168972553008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.03602116883855915,0.0009104876799635805
350.0,1,0,0.39551158113506624,5,1.0,0,2.3286695841851497,3.0,-0.8369492671423284,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0.11938769703522449,0.013884937119444602
95.0,0,0,-0.4098118057381058,5,1.0,0,-0.743596211215475,3.0,0.6651897500469974,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0.1093723325556251,0.01849428099926023
195.0,1,0,0.14771976978947482,5,1.0,0,0.2804923872513998,2.0,-0.2907168972553008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11938769703522449,0.008194389119672225
29.0,0,0,2.7495337889181846,5,1.0,0,-0.23155191198203764,1.0,3.123235414538621,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08000910487679963,0.0018778808399248848
190.0,0,0,-0.4098118057381058,5,1.0,0,-0.23155191198203764,3.0,-0.15415880478354393,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.057076196437716956,0.014852330279405907
40.0,1,0,-1.3390310982840736,5,3.0,0,1.8166252849517122,1.0,0.8017478425187543,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0.03602116883855915,0.009275593239628977
28.0,0,0,-1.5248749567932671,5,3.0,0,-0.23155191198203764,1.0,3.6694677844256485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08000910487679963,0.001536447959938542
68.0,0,1,0.14771976978947482,5,1.0,0,0.2804923872513998,3.0,0.8017478425187543,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0.008535821999658567,0.0005690547999772378
120.0,0,0,0.6433033924806576,5,1.0,0,-0.743596211215475,3.0,-0.2907168972553008,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0.03448472087862061,0.0071131849997154726
59.0,1,1,0.8910952038262491,5,1.0,0,2.8407138834185868,2.0,1.211422119934025,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0.01024298639959028,0.00011381095999544757
